Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 27,COC(=O)C1=C(C(=O)OC)[C@H]2O[C@@H]1C(=C2c1ccc(cc1)O)c1ccc(cc1)O,C22H18O7,394.37,29,12,0.18,6,7,2,103.27,102.29,2.83,1.73,2.43,1.59,2.86,2.29,-3.29,2.04e-01,5.19e-04,Soluble,-3.49,1.26e-01,3.20e-04,Soluble,-4.72,7.45e-03,1.89e-05,Moderately soluble,High,No,Yes,No,No,Yes,No,No,-7.48,0,0,0,0,0,0.55,0,2,1,5.05
Molecule 28,O/N=C\1/c2c(cccc2N(C1=O)Cc1cc(F)cc2c1OCOC2)/C=C/c1ccccc1,C25H19FN2O4,430.43,32,18,0.12,4,6,1,121.29,71.36,3.47,5.06,4.11,3.25,5.20,4.22,-5.85,6.10e-04,1.42e-06,Moderately soluble,-6.30,2.15e-04,5.01e-07,Poorly soluble,-7.37,1.85e-05,4.31e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.33,0,0,0,0,1,0.55,0,4,2,3.58
Molecule 29,Cc1cc(/C=C/c2ccccc2)cc(c1O)C,C16H16O,224.30,17,12,0.12,2,1,1,73.77,20.23,2.95,4.57,3.96,4.03,4.56,4.02,-4.50,7.09e-03,3.16e-05,Moderately soluble,-4.72,4.29e-03,1.91e-05,Moderately soluble,-5.21,1.38e-03,6.15e-06,Moderately soluble,High,Yes,No,No,Yes,No,Yes,No,-4.42,0,0,0,0,1,0.55,0,1,2,2.03
Molecule 30,Brc1cc(/C=C/c2ccccc2)cc(c1O)Br,C14H10Br2O,354.04,17,12,0.00,2,1,1,79.24,20.23,3.21,5.22,4.87,4.81,4.88,4.60,-5.71,6.84e-04,1.93e-06,Moderately soluble,-5.39,1.43e-03,4.05e-06,Moderately soluble,-6.09,2.87e-04,8.11e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-4.75,1,0,0,0,2,0.55,0,1,2,2.18
Molecule 31,CCOC(=O)[C@@H]1[C@H](C(=O)OCC)[C@H]2O[C@@H]1C(=C2c1ccc(cc1)O)c1ccc(cc1)O,C24H24O7,424.44,31,12,0.33,8,7,2,113.36,102.29,2.86,2.25,3.15,2.09,3.27,2.72,-3.65,9.56e-02,2.25e-04,Soluble,-4.03,3.92e-02,9.24e-05,Moderately soluble,-5.08,3.57e-03,8.41e-06,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.29,0,0,0,0,0,0.55,0,2,2,5.60
Molecule 32,CO/C=C(\c1ccccc1/C=C/c1ccccc1)/C(=O)OC,C19H18O3,294.34,22,12,0.11,6,3,0,88.69,35.53,3.36,4.23,3.80,3.33,4.33,3.81,-4.34,1.35e-02,4.60e-05,Moderately soluble,-4.69,6.05e-03,2.06e-05,Moderately soluble,-5.29,1.51e-03,5.13e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.09,0,0,0,0,0,0.85,0,3,1,3.08
Molecule 33,Oc1cc(/C=C/c2ccc(c(c2)O)O)cc(c1)O,C14H12O4,244.24,18,12,0.00,2,4,4,69.90,80.92,1.61,2.86,2.46,1.67,2.08,2.14,-3.52,7.42e-02,3.04e-04,Soluble,-4.22,1.48e-02,6.05e-05,Moderately soluble,-2.71,4.75e-01,1.95e-03,Soluble,High,No,No,Yes,No,Yes,No,Yes,-5.76,0,0,0,0,0,0.55,1,2,1,2.09
Molecule 34,Nc1nc(N)c2c(n1)ncc(n2)CN1c2ccccc2C=Cc2c1cccc2,C21H17N7,367.41,28,22,0.05,2,4,2,114.73,106.84,2.27,2.83,2.67,1.86,1.69,2.26,-4.35,1.64e-02,4.46e-05,Moderately soluble,-4.73,6.82e-03,1.86e-05,Moderately soluble,-6.67,7.82e-05,2.13e-07,Poorly soluble,High,No,Yes,Yes,No,No,Yes,Yes,-6.53,0,0,0,0,0,0.55,0,1,1,3.44
Molecule 35,O=C(Nc1ccc(cc1)/C=C/c1ccccc1)CCCC(=O)O,C19H19NO3,309.36,23,12,0.16,8,3,2,92.32,66.40,2.47,3.16,3.64,3.15,3.75,3.23,-3.61,7.65e-02,2.47e-04,Soluble,-4.22,1.84e-02,5.96e-05,Moderately soluble,-5.58,8.19e-04,2.65e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.94,0,0,0,0,0,0.85,0,1,1,2.08
Molecule 36,OC(=O)CCCCN(c1ccc(cc1)/C=C/c1ccc(cc1)[N+](=O)[O-])C,C20H22N2O4,354.40,26,12,0.25,9,4,1,105.84,86.36,2.89,4.36,4.24,2.89,2.02,3.28,-4.53,1.04e-02,2.94e-05,Moderately soluble,-5.89,4.57e-04,1.29e-06,Moderately soluble,-5.06,3.10e-03,8.75e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.37,0,0,0,0,0,0.56,1,3,3,2.55
Molecule 37,COC(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(C(=O)CN1CCN(CC1)C)C,C31H33N5O4,539.62,40,18,0.26,9,6,2,167.00,94.22,4.31,3.32,2.09,2.16,2.97,2.97,-5.02,5.20e-03,9.63e-06,Moderately soluble,-4.97,5.72e-03,1.06e-05,Moderately soluble,-8.10,4.27e-06,7.91e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.23,1,3,0,0,0,0.55,0,2,2,4.24
Molecule 38,[18F]CCOCCOCCOc1ccc(cc1)/C=C/c1ccc(cc1)NC,C21H26FNO3,358.44,26,12,0.33,12,4,1,103.87,39.72,4.18,4.20,4.29,2.92,5.12,4.14,-4.26,1.98e-02,5.52e-05,Moderately soluble,-4.74,6.47e-03,1.80e-05,Moderately soluble,-7.33,1.69e-05,4.72e-08,Poorly soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.50,0,0,1,0,0,0.55,0,1,3,2.81
Molecule 39,CN(CCOC1=Cc2ccccc2Sc2c1cc(Cl)cc2)C,C18H18ClNOS,331.86,22,12,0.22,4,2,0,94.15,37.77,3.85,4.84,4.77,3.96,4.44,4.37,-5.09,2.72e-03,8.20e-06,Moderately soluble,-5.37,1.43e-03,4.30e-06,Moderately soluble,-6.58,8.81e-05,2.65e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-4.89,0,0,0,0,0,0.55,0,1,1,3.37
Molecule 40,CN1CCC2=C(C1)c1ccccc1Cc1c2cccc1,C19H19N,261.36,20,12,0.26,0,1,0,88.75,3.24,3.07,3.31,3.46,4.09,4.34,3.65,-3.99,2.68e-02,1.02e-04,Soluble,-3.05,2.31e-01,8.83e-04,Soluble,-6.27,1.40e-04,5.36e-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,No,-5.54,0,0,0,0,1,0.55,0,1,0,3.39
Molecule 41,OC[C@H]1O[C@@H](Oc2cc(/C=C/c3ccc(cc3)O)cc(c2)O)[C@@H]([C@H]([C@@H]1O)O)O,C20H22O8,390.38,28,12,0.30,5,8,6,100.00,139.84,1.83,1.03,0.23,-0.36,0.47,0.64,-2.90,4.96e-01,1.27e-03,Soluble,-3.56,1.08e-01,2.78e-04,Soluble,-1.61,9.67e+00,2.48e-02,Soluble,High,No,Yes,No,No,No,No,No,-7.95,1,0,0,1,1,0.55,0,1,1,4.82
Molecule 42,CC/C(=C(\c1ccc2c(c1)cn[nH]2)/c1ccc(cc1)/C=C/C(=O)O)/c1ccc(cc1Cl)F,C26H20ClFN2O2,446.90,32,21,0.08,6,4,2,127.20,65.98,2.95,7.44,7.13,5.16,7.08,5.95,-7.39,1.83e-05,4.10e-08,Poorly soluble,-8.66,9.84e-07,2.20e-09,Poorly soluble,-9.06,3.86e-07,8.63e-10,Poorly soluble,Low,No,No,No,No,No,No,No,-3.74,1,1,0,1,1,0.85,0,2,2,3.28
Molecule 43,CCCN1CC(=C(C1=O)c1ccc(cc1)C)c1ccc(cc1)S(=O)(=O)C,C21H23NO3S,369.48,26,12,0.29,5,3,0,108.80,62.83,3.10,3.14,4.26,3.14,4.17,3.56,-4.12,2.80e-02,7.58e-05,Moderately soluble,-4.13,2.75e-02,7.43e-05,Moderately soluble,-7.06,3.20e-05,8.67e-08,Poorly soluble,High,Yes,No,No,Yes,Yes,No,Yes,-6.32,0,0,0,0,0,0.55,0,1,1,3.21
Molecule 44,Fc1cccc(c1)C1=C(OC(C1=O)(C)C)c1ccc(cc1)S(=O)(=O)N,C18H16FNO4S,361.39,25,12,0.17,3,6,1,91.20,94.84,2.54,2.58,4.22,1.60,3.04,2.80,-3.86,4.95e-02,1.37e-04,Soluble,-4.22,2.18e-02,6.02e-05,Moderately soluble,-6.18,2.37e-04,6.55e-07,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.67,0,0,0,0,0,0.56,0,1,1,3.31
Molecule 45,COc1cc(/C=C\c2ccc(c(c2)OP(=O)(O)O)OC)cc(c1OC)OC,C18H21O8P,396.33,27,12,0.22,8,8,2,100.45,113.49,2.29,2.42,3.15,1.24,2.56,2.33,-3.62,9.45e-02,2.38e-04,Soluble,-4.45,1.42e-02,3.58e-05,Moderately soluble,-4.05,3.54e-02,8.93e-05,Moderately soluble,High,No,No,No,No,Yes,No,No,-7.00,0,0,0,0,0,0.56,0,2,2,3.73
Molecule 46,C#CCN(CC1=Cc2ccccc2Oc2c1cccc2)C,C19H17NO,275.34,21,12,0.16,3,2,0,86.98,12.47,3.33,3.45,3.87,3.62,3.93,3.64,-3.95,3.12e-02,1.13e-04,Soluble,-3.39,1.11e-01,4.04e-04,Soluble,-5.57,7.39e-04,2.69e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.53,0,0,0,0,0,0.55,0,2,0,3.38
Molecule 47,OC[C@@H](C(=O)Nc1cc(/C=C\c2cc(OC)c(c(c2)OC)OC)ccc1OC)N,C21H26N2O6,402.44,29,12,0.29,10,7,3,110.77,112.27,2.98,2.25,1.74,0.71,2.73,2.08,-3.40,1.61e-01,3.99e-04,Soluble,-4.24,2.30e-02,5.71e-05,Moderately soluble,-4.96,4.46e-03,1.11e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.16,0,0,0,0,0,0.55,0,1,2,3.53
Molecule 48,OCCN1CCN(CC1)CCCN1c2ccccc2C=Cc2c1cccc2,C23H29N3O,363.50,27,12,0.39,6,3,1,123.88,29.95,3.60,3.62,1.95,2.85,2.90,2.98,-4.31,1.79e-02,4.93e-05,Moderately soluble,-3.94,4.21e-02,1.16e-04,Soluble,-5.51,1.11e-03,3.05e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.95,0,0,0,0,0,0.55,0,1,2,3.72
Molecule 49,COc1cc(/C=C\c2ccc(c(c2)O)OC)cc(c1OC)OC,C18H20O5,316.35,23,12,0.22,6,5,1,89.80,57.15,3.42,3.72,3.38,2.10,3.73,3.27,-4.14,2.32e-02,7.33e-05,Moderately soluble,-4.61,7.74e-03,2.45e-05,Moderately soluble,-4.92,3.79e-03,1.20e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.59,0,0,0,0,0,0.55,0,1,1,2.65
Molecule 50,NC(=N)c1ccc(cc1)/C=C/c1ccc(cc1O)C(=N)N,C16H16N4O,280.32,21,12,0.00,4,3,5,86.36,119.97,0.96,1.77,1.91,2.55,2.18,1.88,-2.85,3.94e-01,1.41e-03,Soluble,-3.91,3.47e-02,1.24e-04,Soluble,-3.90,3.57e-02,1.27e-04,Soluble,High,No,No,No,No,No,No,No,-6.75,0,0,0,0,0,0.55,0,3,0,2.41
Molecule 51,FCC1CN(C1)CCOc1ccc(cc1)[C@@H]1Oc2ccc(cc2C(=C1c1cccc(c1)O)C)O,C28H28FNO4,461.52,34,18,0.29,7,6,2,134.81,62.16,3.78,4.72,5.16,3.45,5.25,4.47,-5.60,1.15e-03,2.48e-06,Moderately soluble,-5.75,8.12e-04,1.76e-06,Moderately soluble,-8.01,4.49e-06,9.73e-09,Poorly soluble,High,Yes,Yes,No,No,No,Yes,Yes,-5.76,0,1,0,0,0,0.55,0,1,2,4.94
Molecule 52,COc1c(/C=C/c2ccc(cc2)NS(=O)(=O)C)cc(cc1C(C)(C)C)n1ccc(=O)[nH]c1=O,C24H27N3O5S,469.55,33,18,0.25,7,5,2,132.06,118.64,2.92,3.65,4.05,2.43,3.78,3.37,-4.99,4.78e-03,1.02e-05,Moderately soluble,-5.83,6.94e-04,1.48e-06,Moderately soluble,-7.32,2.23e-05,4.75e-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.57,0,1,0,0,0,0.55,0,1,2,3.51
Molecule 53,O=C(O[C@@H](C(=O)O)Cc1ccc(c(c1)O)O)/C=C/c1ccc(c(c1/C=C/c1ccc(c(c1)O)O)O)O,C26H22O10,494.45,36,18,0.08,9,10,7,130.81,184.98,2.19,3.92,3.02,1.34,2.85,2.66,-5.15,3.49e-03,7.06e-06,Moderately soluble,-7.50,1.55e-05,3.14e-08,Poorly soluble,-3.51,1.54e-01,3.12e-04,Soluble,Low,No,No,No,No,Yes,No,No,-6.53,1,2,1,1,2,0.11,1,3,3,4.18
